Name	Description
TTN	cardiomyocyte
MYH7	cardiomyocyte
MYL2	cardiomyocyte
FHL2	cardiomyocyte
PDGFRA	fibroblast
GSN	fibroblast
DCN	fibroblast
CD14	macrophage
C1QA	macrophage
CD68	macrophage
FOLR2	macrophage
PECAM1	endothelial_cell
VWF	endothelial_cell
CDH5	endothelial_cell
MYH11	smooth_muscle_cell
TAGLN	smooth_muscle_cell
ACTA2	smooth_muscle_cell
RGS5	pericyte
ABCC9	pericyte
KCNJ8	pericyte
CD34	telocyte
VIM	telocyte
CD11b	dendritic_cell
CD11c	dendritic_cell
CD103	dendritic_cell
CD205	dendritic_cell
GPAM	adipocyte
LEP	adipocyte
FASN	adipocyte
CRT	mesothelial
AE1	mesothelial
AE3	mesothelial
MSLN	mesothelial
WT1	mesothelial
BNC1	mesothelial
SOX10	schwann_cell
S100	schwann_cell
